player,true,sim,pval
LaMarcus Aldridge,0.46984126984126984,0.439379598580671,0.146
Rudy Gay,0.4931129476584022,0.40619918089176527,0.0
Pau Gasol,0.46176470588235297,0.45917192797160417,0.46
Chris Paul,0.4789915966386555,0.4128844046510319,0.008
Anthony Davis,0.5104477611940299,0.5241311345810927,0.704
Damian Lillard,0.421875,0.3718752163629527,0.038
Victor Oladipo,0.42857142857142855,0.41708997771352435,0.324
LeBron James,0.46236559139784944,0.4773611428402156,0.718
Dwyane Wade,0.4744744744744745,0.45812244756471604,0.26
Monta Ellis,0.4444444444444444,0.419577414353161,0.184
Russell Westbrook,0.4153846153846154,0.36756893434586885,0.044
Andrew Wiggins,0.3935860058309038,0.43057497160531366,0.928
Blake Griffin,0.5243619489559165,0.4737850777413629,0.016
James Harden,0.4392857142857143,0.39892678824287214,0.10200000000000001
Tyreke Evans,0.48201438848920863,0.4542252690927556,0.17200000000000001
Stephen Curry,0.46467391304347827,0.46937303930371227,0.582
Dirk Nowitzki,0.42011834319526625,0.39121566463693025,0.15
Kyrie Irving,0.4241486068111455,0.3837664329107479,0.106
Klay Thompson,0.48775055679287305,0.4381001872533906,0.022
Markieff Morris,0.48179271708683474,0.41475136559561426,0.004
Nikola Vucevic,0.5011820330969267,0.445159472063997,0.014
