player,true,sim,pval
LaMarcus Aldridge,0.46984126984126984,0.4358747970321375,0.116
Rudy Gay,0.4931129476584022,0.404367979501731,0.0
JJ Redick,0.438871473354232,0.45423081974414126,0.706
Kyle Lowry,0.35563380281690143,0.408991552200439,0.978
Paul Millsap,0.4407894736842105,0.44724043992573737,0.59
Pau Gasol,0.46176470588235297,0.4602594733864585,0.48
Joe Johnson,0.4311594202898551,0.4118644216209224,0.272
Zach Randolph,0.47619047619047616,0.45133235652740467,0.21
Tony Parker,0.5016722408026756,0.43757165841892853,0.014
Chris Paul,0.4789915966386555,0.41333077646786104,0.01
Anthony Davis,0.5104477611940299,0.5252116754998778,0.73
Bradley Beal,0.3971631205673759,0.42123966956672426,0.8160000000000001
Dion Waiters,0.35135135135135137,0.4117011366136058,0.98
Damian Lillard,0.421875,0.3736811125653245,0.04
Terrence Ross,0.4204081632653061,0.4285889164394958,0.604
Andre Drummond,0.5380281690140845,0.5949411012019556,0.994
Harrison Barnes,0.5108225108225108,0.48556065473940235,0.212
Tyler Zeller,0.5582329317269076,0.4923814936379342,0.004
Nene,0.49586776859504134,0.5031795780021353,0.61
Draymond Green,0.4274193548387097,0.4516066795418159,0.802
Khris Middleton,0.4831081081081081,0.43411592430176754,0.046
Matt Barnes,0.41919191919191917,0.4399641028390007,0.738
Victor Oladipo,0.42857142857142855,0.41616544509732356,0.34600000000000003
Al Horford,0.547683923705722,0.5237023385765017,0.176
Jeff Green,0.4452296819787986,0.4142971219553384,0.136
Luc Mbah a Moute,0.3910891089108911,0.36352687441901543,0.20600000000000002
Jason Smith,0.49748743718592964,0.45715315221938024,0.122
Wilson Chandler,0.3834355828220859,0.4105496954908025,0.8240000000000001
Aaron Brooks,0.4207920792079208,0.3577275437769514,0.04
Arron Afflalo,0.42574257425742573,0.42649648842193155,0.522
Marc Gasol,0.45027624309392267,0.4712222415138874,0.788
LeBron James,0.46236559139784944,0.4751013839740665,0.666
Chris Bosh,0.44081632653061226,0.42794217722908434,0.326
Dwyane Wade,0.4744744744744745,0.45628308992769245,0.246
David West,0.46153846153846156,0.4381634787809072,0.22
Kyle Korver,0.4716981132075472,0.4599087325462349,0.378
CJ Miles,0.43842364532019706,0.3880733148649965,0.09
Luol Deng,0.44329896907216493,0.44871861897887244,0.578
Al Jefferson,0.4375,0.49424029684457876,0.994
Josh Smith,0.3694915254237288,0.4497286701939099,1.0
Nerlens Noel,0.43842364532019706,0.5110539383578533,0.986
Ben McLemore,0.5019011406844106,0.3949277583090163,0.0
Trevor Ariza,0.4,0.4706547253680833,0.998
Kentavious Caldwell-Pope,0.34701492537313433,0.36974014451960807,0.798
