player,n_shots,hh_raw,hh_adj,pval
LaMarcus Aldridge,654,0.0071234854155603124,-0.017515140093929803,6.690067460768895e-10
Randy Foye,306,0.013665257789067775,-0.010173571003666892,0.00785001242768262
Rudy Gay,677,0.05001260867296936,0.022834689946723927,1.393044457530071e-16
JJ Redick,458,0.012122036249922334,-0.015505678080725383,3.047745076339287e-06
Mike Dunleavy,395,-0.03055566695839275,-0.047866098734182974,1.6200722825076918e-29
Kyle Lowry,478,-0.03235537277947665,-0.043834552074934585,1.974765855725215e-27
PJ Tucker,339,0.007468728343748683,-0.009608723610217938,0.015301997662125475
Paul Millsap,618,0.016890159943678158,-0.006426476428522723,0.02726626477547846
Jose Juan Barea,313,-0.026537943914459995,-0.021534892441697675,1.3777382736174605e-07
Pau Gasol,671,-0.014670613940301202,-0.042050167343490236,2.5459512317799574e-32
Joe Johnson,491,-0.0030520312731004214,-0.026578682487779663,7.691632022076423e-15
Zach Randolph,677,0.011320096191328718,-0.020887535151873825,9.888279974082872e-13
Tony Parker,630,0.00407920339682278,-0.025343819931125774,7.510889333875375e-18
Chris Paul,580,0.03354643003412606,-0.009983063587713472,0.0006212434564414073
Anthony Davis,653,-0.005455363084340224,-0.02613550511241777,7.271582025311185e-19
Bradley Beal,646,0.017104721412727307,0.0015274232660980125,0.5260058061887863
Dion Waiters,545,-0.008735642428655552,-0.022661477840138576,6.087719224276303e-11
Damian Lillard,575,0.011741631024682913,-0.016990355519476856,5.287776042761447e-09
Terrence Ross,427,-0.00604980457813755,-0.009639771260902737,0.0037018874501406054
Andre Drummond,720,-0.004096343335739705,-0.006818439845091618,0.0012665848298703607
Harrison Barnes,422,-0.015644141847380263,0.0001245572995416927,0.9687242823382396
Evan Fournier,306,-0.030765477524122807,-0.05475458516201419,3.4469877335434484e-29
Jared Sullinger,409,-0.013161917729718248,-0.027477353825865202,1.2706124890593866e-13
Tony Wroten,244,-0.01332795380583961,-0.03254378106818928,1.9053273162831275e-15
Nene,488,0.020194406605983733,-0.018985055192875935,5.3164000977494655e-11
Draymond Green,365,-0.06558022827900711,-0.050714134966680764,9.726745070245535e-30
Khris Middleton,531,0.021837638079281727,-0.009795695286542318,0.0007526797064764264
Carlos Boozer,498,-0.004593855011556504,-0.025749180287922228,8.515590259315851e-18
Matt Barnes,385,-0.02136454920729691,-0.022959098630598276,5.536385891275023e-10
Luis Scola,373,0.0020936641737353346,-0.02840176562885076,6.1967158005414345e-16
Victor Oladipo,460,-0.000594061485870575,-0.012185782404954866,2.502041146275945e-05
Kevin Durant,575,0.013974029356564825,-0.015410169052754101,1.6520523915549132e-07
Al Horford,502,0.02915784945393416,0.0067827303327752065,0.01610648712539269
Mike Conley,449,0.03398983798948787,0.022444231308244647,1.028699164566768e-08
Jeff Green,572,0.0003599848907984027,-0.006306339068612204,0.01700840068577457
Corey Brewer,360,-0.06257009740039227,-0.05778014877203063,3.197402346407786e-36
Joakim Noah,406,0.008025796554950466,-0.011870703695328264,0.0002326652077498793
Spencer Hawes,409,0.001797362845358409,-0.029121096106392602,2.173603429209456e-19
Thaddeus Young,783,-0.0010493956783848546,-0.010716179840070006,1.8812878065311027e-06
Rodney Stuckey,410,0.018156964886706973,-0.028175112649752414,2.2452239913379664e-14
Nick Young,285,0.002391993411851583,-0.02448574008774441,1.8500800730342953e-09
Marco Belinelli,335,0.030421534943441797,-0.007114821735207753,0.05337514044138713
Wilson Chandler,571,-0.01912837534989334,-0.033608203856484054,3.557606512265905e-23
Aaron Brooks,333,0.02199754658151969,-0.006255904802435435,0.07982972711276307
Arron Afflalo,595,-0.005402734363276694,-0.02864655054704709,7.537368182095561e-22
Marc Gasol,599,-0.011882455932603099,-0.03546778756412584,5.691140349376439e-24
LeBron James,573,0.00040538186096296836,-0.03886991017805859,1.1680366873924948e-29
Chris Bosh,650,0.055397356740853325,0.0025466334763150095,0.32060595150234206
Dwyane Wade,634,0.03544937983877062,0.007027905986749725,0.005375357240818041
David West,592,0.054386784302247575,0.005183313213037713,0.035297728420317025
Boris Diaw,419,0.02527913085954536,0.014474847025458397,1.930066009939006e-05
Mo Williams,297,-0.002807618683424202,-0.023987858897295208,3.2618796181424417e-10
Kyle Korver,432,0.04935850478099131,0.012303555430957123,0.00024320990452632584
Jarrett Jack,289,0.007954392335933435,-0.012662716502924852,0.00032257064183518103
Dwight Howard,542,0.007813438289096766,-0.017927000169443902,4.510236913559594e-12
Luol Deng,547,-0.021270657408489962,-0.023945561305496698,2.620407366772878e-13
Al Jefferson,820,-0.012097710922548084,-0.04499263539701932,1.8962304508061845e-37
Josh Smith,683,-0.013339553566332363,-0.018562336673833797,6.685527977268519e-13
J.R. Smith,367,0.0031121442691820094,-0.027443002008702685,8.812391740823175e-13
Jameer Nelson,289,-0.057837184466512336,-0.06452114489962071,1.1640968583679434e-31
Kevin Martin,444,-0.0059523903932245095,-0.01619304864714246,1.6889306425932808e-07
Ben McLemore,418,0.05304529045356393,0.034305109088553665,3.355791115341782e-19
Trevor Ariza,537,-0.003195263439819778,-0.004249962496197515,0.13616100293402195
Kentavious Caldwell-Pope,387,-0.017189867290456212,-0.04049346236234093,7.702947900864647e-22
Michael Carter-Williams,536,0.009636846734751627,0.0030559311241259574,0.25861664923537303
Tim Hardaway Jr.,379,0.020295084323817932,0.005005168740212831,0.12445056063659361
Trey Burke,422,0.012625014072671699,-0.0008671053701322585,0.7616896796662709
Giannis Antetokounmpo,325,-0.0019051091954185007,-0.03873029647395745,4.5908472810532444e-20
Channing Frye,371,0.02375462748867917,-0.002287861115863855,0.48835330879378613
Deron Williams,428,0.0279462470492006,0.004526634238941201,0.17283525870805555
Gerald Green,485,-0.02377048893812729,-0.03835998644651242,3.792919864335178e-23
David Lee,501,-0.007074727977528433,-0.013935476835100484,8.101298847778752e-07
Brandon Bass,487,0.014345980771156891,-0.017646175903557534,1.5378695024435084e-08
CJ Miles,343,0.037823828086819715,0.028534081842737414,3.806336075729509e-12
Ersan Ilyasova,359,-0.01206348243052771,-0.02823767919083018,8.896504429537774e-13
Monta Ellis,699,0.024976300260090265,0.004859484138277207,0.04699338228818905
Lou Williams,274,0.006287602067623985,-0.011873360139605266,0.0034768210855958977
Amir Johnson,465,0.0077607712030193675,-0.018739364091993567,1.915361615860577e-09
Marcin Gortat,673,0.013912011600185641,-0.010168656246538421,5.534388078842809e-05
Jose Calderon,360,0.007212480911749266,-0.022981011065476308,3.225908532163844e-11
O.J. Mayo,294,-0.024513535242390746,-0.02836585165936816,2.6576649952242364e-11
Russell Westbrook,455,-0.021172777645872654,-0.0518277288801696,1.2043463224287714e-32
Kevin Love,668,-0.016459910547055884,-0.027713326948133454,1.4778125827837653e-16
Eric Gordon,476,0.027196504510707473,-0.013740248336304885,5.562784141659712e-06
D.J. Augustin,331,0.008288950621900333,-0.020062113387854796,3.991784058674603e-08
Jerryd Bayless,311,0.020799661579839753,-0.00011659861930842508,0.9730336840797138
Robin Lopez,438,0.035115726176904956,0.03028933340038929,1.438045653828012e-17
Marreese Speights,324,0.0019275659624395551,-0.010743766973604536,0.0016892604588190883
Roy Hibbert,504,0.015000669805803031,-0.014835186717753926,2.0956347178261765e-07
JJ Hickson,402,0.03432150646226084,0.01904747049567176,2.534889599582999e-09
Courtney Lee,401,0.028876824952472024,0.0027443466689814006,0.40523280426227426
Serge Ibaka,665,0.018754915880668646,0.0006370526173780222,0.7698969958752239
Nicolas Batum,502,-0.0071542385002089405,-0.01567845889323709,7.35462849802066e-08
George Hill,336,0.01082459722793847,-0.030537703258853233,9.978717920584376e-15
Mario Chalmers,342,-0.003265815856342446,-0.01930894831940951,3.015608130573719e-08
Goran Dragic,689,0.010672045657520167,-0.016080963051010665,1.223961877554358e-09
Anthony Morrow,318,-0.015334776300369836,-0.04426118627885968,1.1815253235236992e-20
Carmelo Anthony,571,0.02736977476267177,-0.010711937345661993,0.00014355017414087638
Blake Griffin,928,0.024078440614497,-0.007705629722790564,0.0002651527144964081
James Harden,507,0.025012697912563952,-0.004172270482583682,0.1694257975461268
Tyreke Evans,440,0.03592425025613652,0.006947936406373584,0.031950886639902386
Stephen Curry,674,-0.003956581371436606,-0.02117125203270141,5.416410790900753e-14
Jordan Hill,418,0.0504562181560673,0.01893095017282864,6.932163451874133e-10
DeMar DeRozan,619,-0.03315849296250784,-0.044106794901581925,4.771199849532461e-28
Brandon Jennings,342,-0.007010209455723853,-0.018735977858067927,1.43498140577474e-07
Gerald Henderson,595,0.008994256582007969,-0.00496820086723789,0.04999326355029771
Ty Lawson,372,-0.014922111036921102,-0.036479863967940965,3.501978622679557e-21
Jeff Teague,535,-0.01640777478974472,-0.03502006584097625,1.0627834685997017e-22
Darren Collison,299,0.04130055424452509,0.002539912929862672,0.4833415519937283
Taj Gibson,509,0.017922454920431142,-0.003198537604370721,0.15051894260214654
DeMarre Carroll,441,0.023499080456653568,0.011276191069911007,0.0009844414816700595
Jodie Meeks,447,0.016698930969357918,0.006832038909313826,0.011379018192537237
Danny Green,331,0.02952055252172262,0.010598841369038688,0.0015630040408592556
Wesley Matthews,535,-0.01478036104956124,-0.025950655471138243,1.9946690109081766e-16
Tim Duncan,603,0.023686656934138718,0.01069003201436903,3.577822766315563e-05
John Wall,373,0.024141337306897048,0.0012272425570739114,0.6468539992058215
Evan Turner,494,0.0018294112470886436,-0.010329936805313612,0.0001706886626044256
Derrick Favors,669,-0.01096379989565078,-0.024699465482303923,2.3853301373435008e-18
Wesley Johnson,353,-0.02442324880553421,-0.03631102887803415,2.4268645152817015e-18
DeMarcus Cousins,689,0.03076035745011636,-0.0012313053431776467,0.6060854176936981
Greg Monroe,662,0.009232283641482802,-0.0315976267950892,1.5188319530785264e-27
Gordon Hayward,477,-0.0012610362119041068,-0.04002845836377112,3.1699081297355623e-22
Paul George,219,-0.027110702219674952,-0.054543261198816584,1.9131419619085984e-24
