player,n_shots,p_data,p_sim,pval
LaMarcus Aldridge , 128 , 0.4921875 , 0.4381931759115967 , 0.122
Randy Foye , 38 , 0.34210526315789475 , 0.3436898476459201 , 0.542
Rudy Gay , 147 , 0.48299319727891155 , 0.4016544524875448 , 0.066
JJ Redick , 84 , 0.40476190476190477 , 0.44187946031411957 , 0.742
Mike Dunleavy , 44 , 0.36363636363636365 , 0.3885357977864786 , 0.626
Kyle Lowry , 56 , 0.375 , 0.4049043260109238 , 0.66
PJ Tucker , 44 , 0.4318181818181818 , 0.40863365437454996 , 0.40800000000000003
Paul Millsap , 120 , 0.44166666666666665 , 0.44121596089853354 , 0.504
Jose Juan Barea , 37 , 0.5405405405405406 , 0.3908422182943972 , 0.032
Pau Gasol , 100 , 0.41 , 0.45391810824087137 , 0.852
Joe Johnson , 76 , 0.3815789473684211 , 0.4162639400087588 , 0.718
Zach Randolph , 126 , 0.4444444444444444 , 0.4571510359660805 , 0.614
Tony Parker , 135 , 0.5481481481481482 , 0.4674142186484615 , 0.032
Chris Paul , 111 , 0.42342342342342343 , 0.43997001002142505 , 0.618
Anthony Davis , 150 , 0.5 , 0.5172619777031039 , 0.652
Bradley Beal , 99 , 0.36363636363636365 , 0.36984730120400167 , 0.546
Dion Waiters , 91 , 0.37362637362637363 , 0.39345275990972667 , 0.64
Damian Lillard , 87 , 0.42528735632183906 , 0.40920810422391235 , 0.39
Terrence Ross , 51 , 0.35294117647058826 , 0.38296420935450476 , 0.66
Andre Drummond , 173 , 0.5664739884393064 , 0.5477353894443467 , 0.34
Harrison Barnes , 68 , 0.4117647058823529 , 0.44854427502212063 , 0.71
Evan Fournier , 35 , 0.42857142857142855 , 0.3897545987094765 , 0.31
Jared Sullinger , 59 , 0.3220338983050847 , 0.3983026511715709 , 0.872
Tony Wroten , 43 , 0.4418604651162791 , 0.512867837028231 , 0.852
Nene , 94 , 0.48936170212765956 , 0.4774522005363641 , 0.424
Draymond Green , 45 , 0.28888888888888886 , 0.42661470311537003 , 0.932
Khris Middleton , 93 , 0.5053763440860215 , 0.4351044134378276 , 0.112
Carlos Boozer , 89 , 0.449438202247191 , 0.4420908701898512 , 0.46
Matt Barnes , 53 , 0.5283018867924528 , 0.4077460823712129 , 0.032
Luis Scola , 59 , 0.3728813559322034 , 0.4311010099464202 , 0.782
Victor Oladipo , 64 , 0.4375 , 0.42005352532758866 , 0.398
Kevin Durant , 157 , 0.554140127388535 , 0.49690698934738875 , 0.11
Al Horford , 118 , 0.5508474576271186 , 0.5048446864751064 , 0.176
Mike Conley , 76 , 0.42105263157894735 , 0.408271298107224 , 0.448
Jeff Green , 82 , 0.43902439024390244 , 0.41445914822963076 , 0.352
Corey Brewer , 49 , 0.3877551020408163 , 0.4309010248877125 , 0.734
Joakim Noah , 69 , 0.4927536231884058 , 0.46187897342050166 , 0.308
Spencer Hawes , 57 , 0.45614035087719296 , 0.4064020352747808 , 0.24
Thaddeus Young , 118 , 0.3898305084745763 , 0.4414731847657115 , 0.874
Rodney Stuckey , 67 , 0.3880597014925373 , 0.42986321207769673 , 0.738
Nick Young , 35 , 0.2857142857142857 , 0.3838342982305435 , 0.868
Marco Belinelli , 48 , 0.4375 , 0.3929518605142672 , 0.302
Wilson Chandler , 70 , 0.34285714285714286 , 0.3956639930872061 , 0.812
Aaron Brooks , 50 , 0.44 , 0.37016047310394 , 0.198
Arron Afflalo , 93 , 0.2903225806451613 , 0.40442114307352245 , 0.966
Marc Gasol , 108 , 0.4166666666666667 , 0.4600794305733158 , 0.804
LeBron James , 125 , 0.424 , 0.4962190454627793 , 0.936
Chris Bosh , 141 , 0.524822695035461 , 0.442801952453032 , 0.054
Dwyane Wade , 139 , 0.4892086330935252 , 0.47482349379110655 , 0.374
David West , 112 , 0.49107142857142855 , 0.41847098580962333 , 0.098
Boris Diaw , 75 , 0.5466666666666666 , 0.4515546766808172 , 0.094
Mo Williams , 43 , 0.4186046511627907 , 0.385220955367385 , 0.326
Kyle Korver , 70 , 0.5142857142857142 , 0.4038833945819079 , 0.052000000000000005
Jarrett Jack , 38 , 0.42105263157894735 , 0.3964781309914735 , 0.406
Dwight Howard , 147 , 0.6054421768707483 , 0.5927588447029067 , 0.424
Luol Deng , 78 , 0.48717948717948717 , 0.4077872045404855 , 0.082
Al Jefferson , 155 , 0.4838709677419355 , 0.4778199005552375 , 0.452
Josh Smith , 100 , 0.39 , 0.39040965604861994 , 0.532
J.R. Smith , 48 , 0.4166666666666667 , 0.3920039508905195 , 0.38
Jameer Nelson , 35 , 0.2571428571428571 , 0.3858532801934342 , 0.912
Kevin Martin , 69 , 0.43478260869565216 , 0.402792450950506 , 0.3
Ben McLemore , 73 , 0.4246575342465753 , 0.37036185799545024 , 0.232
Trevor Ariza , 85 , 0.4235294117647059 , 0.38513077171337123 , 0.28
Kentavious Caldwell-Pope , 40 , 0.45 , 0.3623065981487942 , 0.132
Michael Carter-Williams , 69 , 0.34782608695652173 , 0.36016949588466696 , 0.578
Tim Hardaway Jr. , 52 , 0.38461538461538464 , 0.3668433620081462 , 0.426
Trey Burke , 52 , 0.34615384615384615 , 0.3597724736309068 , 0.592
Giannis Antetokounmpo , 39 , 0.46153846153846156 , 0.47783366178160747 , 0.584
Channing Frye , 55 , 0.3090909090909091 , 0.36879399135354696 , 0.74
Deron Williams , 71 , 0.4507042253521127 , 0.378134237743703 , 0.146
Gerald Green , 65 , 0.35384615384615387 , 0.3993581059211969 , 0.762
David Lee , 115 , 0.5739130434782609 , 0.5196846785925539 , 0.154
Brandon Bass , 80 , 0.35 , 0.46437208369473765 , 0.976
CJ Miles , 54 , 0.4444444444444444 , 0.3467057172316477 , 0.11
Ersan Ilyasova , 56 , 0.5357142857142857 , 0.40938676645912947 , 0.054
Monta Ellis , 141 , 0.5035460992907801 , 0.4125161151854479 , 0.04
Lou Williams , 39 , 0.358974358974359 , 0.3604975861936792 , 0.526
Amir Johnson , 95 , 0.43157894736842106 , 0.5254915685491559 , 0.936
Marcin Gortat , 168 , 0.5892857142857143 , 0.5249711068517459 , 0.05
Jose Calderon , 45 , 0.28888888888888886 , 0.404751654965925 , 0.914
O.J. Mayo , 31 , 0.2903225806451613 , 0.38733636828211154 , 0.848
Russell Westbrook , 62 , 0.4838709677419355 , 0.42577926928376303 , 0.14400000000000002
Kevin Love , 110 , 0.4090909090909091 , 0.415257494226351 , 0.556
Eric Gordon , 60 , 0.31666666666666665 , 0.39865893504315725 , 0.882
D.J. Augustin , 45 , 0.4 , 0.4095611196202501 , 0.548
Jerryd Bayless , 46 , 0.391304347826087 , 0.37660510777385053 , 0.424
Robin Lopez , 94 , 0.5 , 0.5067869626326875 , 0.52
Marreese Speights , 62 , 0.5 , 0.483607610701312 , 0.428
Roy Hibbert , 79 , 0.43037974683544306 , 0.4448269975712262 , 0.606
JJ Hickson , 77 , 0.5064935064935064 , 0.5000968554260838 , 0.454
Courtney Lee , 63 , 0.42857142857142855 , 0.40155373666363003 , 0.34800000000000003
Serge Ibaka , 142 , 0.5422535211267606 , 0.4824465017629929 , 0.10400000000000001
Nicolas Batum , 68 , 0.36764705882352944 , 0.3986686054361305 , 0.682
George Hill , 49 , 0.3469387755102041 , 0.44778534542356985 , 0.922
Mario Chalmers , 50 , 0.34 , 0.4125846682878381 , 0.85
Goran Dragic , 143 , 0.5034965034965035 , 0.471758476656169 , 0.244
Anthony Morrow , 34 , 0.35294117647058826 , 0.4136315401190541 , 0.764
Carmelo Anthony , 101 , 0.43564356435643564 , 0.409510994323629 , 0.34400000000000003
Blake Griffin , 211 , 0.46919431279620855 , 0.4919332157672157 , 0.758
James Harden , 81 , 0.43209876543209874 , 0.4125066290256546 , 0.374
Tyreke Evans , 79 , 0.4177215189873418 , 0.4590802239915078 , 0.774
Stephen Curry , 128 , 0.390625 , 0.47267690417607144 , 0.9440000000000001
Jordan Hill , 98 , 0.5714285714285714 , 0.5014450197636936 , 0.128
DeMar DeRozan , 83 , 0.3253012048192771 , 0.4139257775735135 , 0.9480000000000001
Brandon Jennings , 38 , 0.3157894736842105 , 0.365417459597059 , 0.714
Gerald Henderson , 96 , 0.4166666666666667 , 0.4165025854366754 , 0.524
Ty Lawson , 50 , 0.36 , 0.41119639553388276 , 0.78
Jeff Teague , 76 , 0.3815789473684211 , 0.426863516942134 , 0.8
Darren Collison , 48 , 0.4583333333333333 , 0.4137002635924483 , 0.308
Taj Gibson , 83 , 0.4457831325301205 , 0.4654941212761387 , 0.652
DeMarre Carroll , 83 , 0.46987951807228917 , 0.38581635499987355 , 0.128
Jodie Meeks , 79 , 0.4177215189873418 , 0.39274043658696767 , 0.358
Danny Green , 48 , 0.5 , 0.41900536264868593 , 0.138
Wesley Matthews , 69 , 0.36231884057971014 , 0.39784322813066897 , 0.716
Tim Duncan , 131 , 0.5267175572519084 , 0.4790457762714093 , 0.162
John Wall , 71 , 0.39436619718309857 , 0.41445763224018656 , 0.648
Evan Turner , 74 , 0.3918918918918919 , 0.4035121236699799 , 0.588
